emp_no,first_name,last_name,to_date,dept_name
10463,Ung,Zaiane,9999-01-01,Sales
10486,Amstein,Kossowski,9999-01-01,Quality Management
10494,Yakkov,Servieres,9999-01-01,Production
10504,Xiong,Varker,9999-01-01,Sales
10512,Udi,Gihr,9999-01-01,Human Resources
10522,Marke,Cesareni,9999-01-01,Human Resources
10548,Ramalingam,Gunderson,9999-01-01,Marketing
10548,Ramalingam,Gunderson,9999-01-01,Sales
10564,Jianhao,Thisen,9999-01-01,Production
10623,Aleksander,Danlos,9999-01-01,Development
10623,Aleksander,Danlos,9999-01-01,Research
10628,Krisda,Krogh,9999-01-01,Development
10631,Inderjeet,Chaudhuri,9999-01-01,Development
10642,Hirochika,Narlikar,9999-01-01,Development
10653,Otmar,Feinberg,9999-01-01,Development
10671,Parviz,Rebaine,9999-01-01,Human Resources
10676,Valeri,Danley,9999-01-01,Development
10693,Berhard,Daescu,9999-01-01,Customer Service
10702,Bader,Szemeredi,9999-01-01,Development
10718,Adib,Rullman,9999-01-01,Development
10726,Zita,Minakawa,9999-01-01,Development
10734,Sachar,Erdi,9999-01-01,Production
10745,Poorav,Ranze,9999-01-01,Production
10749,King,Brendel,9999-01-01,Production
10767,Monique,Doering,9999-01-01,Sales
10768,Ishfaq,Candan,9999-01-01,Production
10778,Selwyn,Merey,9999-01-01,Marketing
10791,Tadahiko,Sgarro,9999-01-01,Development
10795,Supot,Naudin,9999-01-01,Sales
10808,Chenxi,Leijenhorst,9999-01-01,Development
10835,Tomoyuki,Kermarrec,9999-01-01,Production
10836,Jianhua,Leivant,9999-01-01,Sales
10836,Jianhua,Leivant,9999-01-01,Customer Service
10844,Dipayan,Koprowski,9999-01-01,Development
10847,Theirry,Danley,9999-01-01,Research
10848,Fen,Bratsberg,9999-01-01,Production
10878,Lakshmi,Deville,9999-01-01,Sales
10879,Muzhong,Chleq,9999-01-01,Development
10883,Shimshon,Champarnaud,9999-01-01,Production
10909,Georgi,Atchley,9999-01-01,Development
10921,Mara,Bahi,9999-01-01,Production
10924,Hironoby,Atchley,9999-01-01,Sales
10927,Gal,Scallan,9999-01-01,Marketing
10936,Mountaz,Schicker,9999-01-01,Human Resources
10943,Berna,Skafidas,9999-01-01,Development
10965,Eckart,Braunschweig,9999-01-01,Sales
10969,Premal,Noriega,9999-01-01,Development
10974,Muneo,Papsdorf,9999-01-01,Development
10986,Masako,Schiper,9999-01-01,Development
10988,Chinya,Deyuan,9999-01-01,Development
10989,Sumali,Candan,9999-01-01,Finance
10990,Shin,Foote,9999-01-01,Development
11009,Alper,Axelband,9999-01-01,Sales
11012,Taegyun,Speckmann,9999-01-01,Marketing
11012,Taegyun,Speckmann,9999-01-01,Customer Service
11019,Leon,Huttel,9999-01-01,Development
11021,Srinidhi,Henders,9999-01-01,Research
11027,Remzi,Cappello,9999-01-01,Production
11031,Ottavia,Walstra,9999-01-01,Marketing
11037,Lansing,Maliniak,9999-01-01,Production
11038,Jinya,Beidas,9999-01-01,Research
11042,Gou,Breugel,9999-01-01,Development
11048,Jaques,Demke,9999-01-01,Sales
11050,Elvis,Katiyar,9999-01-01,Marketing
11051,Przemyslawa,Erol,9999-01-01,Production
11070,Adib,Raney,9999-01-01,Quality Management
11081,Barry,Boyle,9999-01-01,Finance
11085,Hailing,Thummel,9999-01-01,Production
11100,Berna,Cochrane,9999-01-01,Research
11106,Aris,Iwayama,9999-01-01,Development
11112,Boaz,Mukaidono,9999-01-01,Customer Service
11113,Shahab,Peng,9999-01-01,Marketing
11121,Vugranam,Kakkad,9999-01-01,Development
11133,Nalini,Azulay,9999-01-01,Quality Management
11134,Sachar,Rajcani,9999-01-01,Quality Management
11137,Hugh,Luca,9999-01-01,Development
11139,Bogdan,Homond,9999-01-01,Customer Service
11146,Ishfaq,Masand,9999-01-01,Sales
11148,Zhanqiu,Botman,9999-01-01,Finance
11148,Zhanqiu,Botman,9999-01-01,Human Resources
11162,Kauko,Narlikar,9999-01-01,Development
11180,Mitsuyuki,Bojadziev,9999-01-01,Development
11197,Tadahiro,Fordan,9999-01-01,Sales
11204,Diederik,Covnot,9999-01-01,Production
11207,Saeed,Gips,9999-01-01,Development
11208,Saniya,Valtorta,9999-01-01,Production
11211,Yurij,Rissland,9999-01-01,Production
11217,Kellie,Mawatari,9999-01-01,Production
11232,Hidefumi,Crelier,9999-01-01,Customer Service
11240,Kiam,Condotta,9999-01-01,Development
11249,Randi,Cyre,9999-01-01,Development
11251,Bezalel,Chinal,9999-01-01,Marketing
11268,Aimee,Petersohn,9999-01-01,Production
11275,Hitomi,Eppinger,9999-01-01,Development
11290,Visit,Dredge,9999-01-01,Development
11295,Abdelkader,Lanzelotte,9999-01-01,Finance
11319,Pranas,Marrakchi,9999-01-01,Development
11320,Atilio,McAlpine,9999-01-01,Marketing
11322,Nathalie,Pocchiola,9999-01-01,Quality Management
11324,Kauko,Billingsley,9999-01-01,Production
11338,Kwangsub,Hanratty,9999-01-01,Sales
11339,Flemming,Massonet,9999-01-01,Production
11347,Anneli,Jonsson,9999-01-01,Development
11365,Toshimi,Shinomoto,9999-01-01,Production
11376,Valery,Suomi,9999-01-01,Research
11380,Kenroku,Pelc,9999-01-01,Development
11385,Shiv,Ullian,9999-01-01,Production
11386,Alselm,Assaf,9999-01-01,Quality Management
11393,Junsik,Junot,9999-01-01,Production
11398,Oscar,Peir,9999-01-01,Finance
11404,Bedrich,Borovoy,9999-01-01,Development
11415,Sanjiv,Anido,9999-01-01,Production
11421,Josyula,Msuda,9999-01-01,Production
11441,Marlo,Aingworth,9999-01-01,Sales
11449,Kotesh,Asser,9999-01-01,Production
11459,Duke,Suomi,9999-01-01,Human Resources
11469,Guttorm,Giaccio,9999-01-01,Production
11506,Rance,Picel,9999-01-01,Sales
11509,Aleksander,Feldhoffer,9999-01-01,Development
11513,Otmar,Mahnke,9999-01-01,Finance
11515,Ulf,Basawa,9999-01-01,Sales
11518,Jinxi,Oxman,9999-01-01,Human Resources
11524,Xiadong,Standera,9999-01-01,Development
11527,Alagu,Boyle,9999-01-01,Marketing
11528,Zito,Dolinsky,9999-01-01,Production
11537,DAIDA,Pehl,9999-01-01,Sales
11554,Subhash,Taubenfeld,9999-01-01,Marketing
11554,Subhash,Taubenfeld,9999-01-01,Human Resources
11555,Kotesh,Perfilyeva,9999-01-01,Human Resources
11567,Teiji,Mitzlaff,9999-01-01,Sales
11568,Martins,Fujisaki,9999-01-01,Development
11603,Herb,Swen,9999-01-01,Finance
11607,Tomokazu,Foong,9999-01-01,Production
11615,Shem,Isaak,9999-01-01,Sales
11624,Adil,Gammage,9999-01-01,Production
11628,Fan,Malinowski,9999-01-01,Development
11628,Fan,Malinowski,9999-01-01,Research
11640,Valeri,Coorg,9999-01-01,Development
11647,Magy,Nitsche,9999-01-01,Development
11660,Gill,Stenning,9999-01-01,Sales
11673,Henk,Felder,9999-01-01,Production
11676,Valeri,Ferriere,9999-01-01,Production
11681,Fumitake,Benzmuller,9999-01-01,Production
11684,Oksana,Gide,9999-01-01,Marketing
11696,Dante,Rothe,9999-01-01,Sales
11732,Sanjoy,Ranft,9999-01-01,Production
11732,Sanjoy,Ranft,9999-01-01,Customer Service
11735,Amalendu,Picci,9999-01-01,Customer Service
11746,Koichi,Marrakchi,9999-01-01,Sales
11751,Jiafu,Emiris,9999-01-01,Research
11764,Sanjay,Anick,9999-01-01,Production
11769,Chandrasekaran,Lampe,9999-01-01,Development
11769,Chandrasekaran,Lampe,9999-01-01,Research
11772,Gaurav,Penz,9999-01-01,Development
11797,Chenxi,Thambidurai,9999-01-01,Marketing
11797,Chenxi,Thambidurai,9999-01-01,Sales
11810,Amabile,Bhattacharjee,9999-01-01,Development
11817,Niranjan,Markovitch,9999-01-01,Sales
11832,Arto,Zlotek,9999-01-01,Development
11844,Shawna,Demeyer,9999-01-01,Development
11853,Zeljko,Kusakabe,9999-01-01,Marketing
11857,Divier,Farrag,9999-01-01,Sales
11864,Pradeep,Kriebel,9999-01-01,Customer Service
11871,Nalini,Sommen,9999-01-01,Development
11872,Cheong,Riexinger,9999-01-01,Marketing
11894,Mitchel,Validov,9999-01-01,Development
11897,Cordelia,Setlzner,9999-01-01,Sales
11906,Hideo,Boguraev,9999-01-01,Development
11915,Miomir,Mawatari,9999-01-01,Production
11931,Gunilla,Chiodo,9999-01-01,Research
11933,Basil,Erman,9999-01-01,Development
11949,Martijn,Harbusch,9999-01-01,Production
11983,Jaana,Hedayat,9999-01-01,Development
11993,Marit,Dalphin,9999-01-01,Human Resources
12011,Zhilian,Coorg,9999-01-01,Sales
12036,Mads,Ratzlaff,9999-01-01,Marketing
12036,Mads,Ratzlaff,9999-01-01,Sales
12037,Arunas,Katzenelson,9999-01-01,Customer Service
12050,Yuchang,Tchuente,9999-01-01,Production
12062,Margareta,Worfolk,9999-01-01,Human Resources
12069,Ayonca,Burnard,9999-01-01,Development
12070,Ger,Shokrollahi,9999-01-01,Development
12076,Karlis,Siprelle,9999-01-01,Sales
12082,Xinan,Yamaashi,9999-01-01,Sales
12089,Bilhanan,Socorro,9999-01-01,Human Resources
12099,Nobuyoshi,Kuzuoka,9999-01-01,Sales
12112,Satyanarayana,Avouris,9999-01-01,Finance
12122,Satoru,Krone,9999-01-01,Production
12123,Xiahua,Syrzycki,9999-01-01,Research
12125,Shounak,Erman,9999-01-01,Production
12125,Shounak,Erman,9999-01-01,Development
12149,Suebskul,Grandbois,9999-01-01,Sales
12159,Shem,Perly,9999-01-01,Development
12165,Xiaobin,Maquelin,9999-01-01,Development
12183,Harngdar,Iisaku,9999-01-01,Quality Management
12192,Feiyu,Klyachko,9999-01-01,Quality Management
12205,Sushant,Rossi,9999-01-01,Development
12206,Barton,Janetzko,9999-01-01,Development
12218,Yaghout,Strooper,9999-01-01,Quality Management
12221,Vincent,Melter,9999-01-01,Development
12222,Abdelwaheb,Holburn,9999-01-01,Finance
12223,Niteen,Koyama,9999-01-01,Production
12247,Subbu,Penttonen,9999-01-01,Development
12249,Eldridge,Sadowski,9999-01-01,Development
12256,Guadalupe,Reghbati,9999-01-01,Human Resources
12264,Mart,Pagter,9999-01-01,Development
12270,Shakhar,Kornyak,9999-01-01,Research
12272,Behnaam,Grandbois,9999-01-01,Human Resources
12308,Mototsugu,Cronau,9999-01-01,Finance
12308,Mototsugu,Cronau,9999-01-01,Human Resources
12311,Susanne,Lubachevsky,9999-01-01,Development
12327,DAIDA,Bruckman,9999-01-01,Development
12341,Rasiah,Luga,9999-01-01,Development
12343,Sorina,Slaats,9999-01-01,Production
12343,Sorina,Slaats,9999-01-01,Customer Service
12365,Kamakshi,Bisiani,9999-01-01,Production
12373,Mooi,Driscoll,9999-01-01,Sales
12395,Sanjit,Felder,9999-01-01,Finance
12399,Mihalis,Luga,9999-01-01,Sales
12411,Shao,Ibel,9999-01-01,Sales
12413,Hugh,Gadepally,9999-01-01,Production
12417,Dannz,Spelt,9999-01-01,Production
12422,Berhard,Demos,9999-01-01,Human Resources
12454,Kerryn,Farris,9999-01-01,Sales
12464,Shai,Milicic,9999-01-01,Sales
12475,Filipe,Roison,9999-01-01,Development
12487,Mona,Reghbati,9999-01-01,Finance
12487,Mona,Reghbati,9999-01-01,Human Resources
12489,Arnould,Munck,9999-01-01,Development
12490,Jackson,Muchinsky,9999-01-01,Development
12497,Stein,Penz,9999-01-01,Sales
12501,Morrie,Matheson,9999-01-01,Finance
12504,Adly,Rosaz,9999-01-01,Production
12514,Tomofumi,Melter,9999-01-01,Development
12528,Conor,Cincotta,9999-01-01,Customer Service
12534,Yongmao,Gerlach,9999-01-01,Production
12541,Shih,Nanard,9999-01-01,Sales
12542,Kazuhide,Bouloucos,9999-01-01,Human Resources
12551,Jeane,Tzvieli,9999-01-01,Production
12553,Aral,Vesna,9999-01-01,Human Resources
12557,Stafford,Kopetz,9999-01-01,Production
12557,Stafford,Kopetz,9999-01-01,Quality Management
12589,Anoosh,Chleq,9999-01-01,Development
12596,Breannda,Roisin,9999-01-01,Human Resources
12601,Ghassan,Simkin,9999-01-01,Development
12608,Nectarios,Mondadori,9999-01-01,Human Resources
12635,Xinyu,Restivo,9999-01-01,Production
12635,Xinyu,Restivo,9999-01-01,Customer Service
12638,Yuqun,Seiwald,9999-01-01,Development
12642,Suebskul,Gips,9999-01-01,Marketing
12651,Pragnesh,Bael,9999-01-01,Sales
12662,Leucio,Alvarado,9999-01-01,Development
12663,Nobuyoshi,Stellhorn,9999-01-01,Development
12664,Zhonghua,Parveen,9999-01-01,Sales
12664,Zhonghua,Parveen,9999-01-01,Customer Service
12689,Luerbio,Boudaillier,9999-01-01,Development
12691,Oddvar,Gils,9999-01-01,Production
12697,Uri,Brizzi,9999-01-01,Human Resources
12709,Ronghao,Botman,9999-01-01,Development
12717,Tzu,Jiafu,9999-01-01,Research
12722,Elliott,Cheshire,9999-01-01,Finance
12726,Fumitake,Panwar,9999-01-01,Development
12729,Nahla,Rahier,9999-01-01,Production
12729,Nahla,Rahier,9999-01-01,Customer Service
12731,Yongmao,Waymire,9999-01-01,Human Resources
12732,Mara,Takanami,9999-01-01,Sales
12734,Gil,Frijda,9999-01-01,Development
12755,Rildo,Rodite,9999-01-01,Human Resources
12773,Jenwei,Lovengreen,9999-01-01,Development
12790,Gunilla,Perl,9999-01-01,Sales
12795,Masoud,Fordan,9999-01-01,Finance
12798,Lillian,Beeson,9999-01-01,Sales
12803,Gad,Boissier,9999-01-01,Marketing
12803,Gad,Boissier,9999-01-01,Sales
12815,Sushant,Junot,9999-01-01,Research
12819,Mountaz,Gubsky,9999-01-01,Production
12848,Kazuhide,Smeets,9999-01-01,Development
12863,Leif,Matheson,9999-01-01,Production
12872,Marl,Schmittgen,9999-01-01,Sales
12879,Baruch,Eugenio,9999-01-01,Development
12890,Neven,Casley,9999-01-01,Sales
12893,Licheng,Crouzet,9999-01-01,Sales
12895,Roddy,Serot,9999-01-01,Production
12905,Munehiro,Gecsei,9999-01-01,Development
12926,Heekeun,Luby,9999-01-01,Research
12940,Odinaldo,Farrar,9999-01-01,Development
12941,Tommaso,Perelgut,9999-01-01,Development
12949,Geoff,Asrin,9999-01-01,Development
12977,Byong,Markovitch,9999-01-01,Development
12983,Elliott,Hambrick,9999-01-01,Finance
13030,Yahiko,Kroll,9999-01-01,Marketing
13046,Vivian,Stafford,9999-01-01,Finance
13047,Atilio,Chelton,9999-01-01,Development
13075,Rosella,Morrin,9999-01-01,Marketing
13075,Rosella,Morrin,9999-01-01,Sales
13076,Deniz,Skafidas,9999-01-01,Development
13096,Ibibia,Armand,9999-01-01,Quality Management
13103,Srinidhi,Ellozy,9999-01-01,Development
13124,Quingbo,Garnick,9999-01-01,Sales
13133,Guther,Senzako,9999-01-01,Marketing
13133,Guther,Senzako,9999-01-01,Customer Service
13134,Lorien,Chepyzhov,9999-01-01,Production
13144,Persi,Nollmann,9999-01-01,Finance
13146,Haldon,Erie,9999-01-01,Sales
13147,Shichao,Ginesta,9999-01-01,Sales
13156,Akeel,Millington,9999-01-01,Development
13165,Lucian,Benner,9999-01-01,Quality Management
13168,Munir,Stentiford,9999-01-01,Production
13170,Cheong,Bernardeschi,9999-01-01,Finance
13170,Cheong,Bernardeschi,9999-01-01,Human Resources
13171,Anoosh,Birnbaum,9999-01-01,Quality Management
13173,Arve,Horswill,9999-01-01,Sales
13179,Moty,Janocha,9999-01-01,Sales
13182,Kokou,Rodite,9999-01-01,Production
13186,Kyoichi,Barbanera,9999-01-01,Sales
13192,Rosita,Flowers,9999-01-01,Production
13192,Rosita,Flowers,9999-01-01,Development
13202,Aram,Scharstein,9999-01-01,Research
13210,Jianhua,Klassen,9999-01-01,Marketing
13210,Jianhua,Klassen,9999-01-01,Sales
13213,Hein,Billawala,9999-01-01,Sales
13232,Mitchel,Fujisaki,9999-01-01,Development
13233,Alselm,Chvatal,9999-01-01,Development
13238,Ebru,Foote,9999-01-01,Sales
13240,King,Pileggi,9999-01-01,Development
13250,Zeydy,Schusler,9999-01-01,Production
13272,Arun,Jiang,9999-01-01,Customer Service
13276,Yechiam,Seuren,9999-01-01,Finance
13288,Muneo,Broomell,9999-01-01,Human Resources
13291,Georg,Stamatiou,9999-01-01,Development
13302,Mack,Alencar,9999-01-01,Development
13315,Sakthirel,Stroustrup,9999-01-01,Development
13332,Nidapan,Pearson,9999-01-01,Production
13333,Yoshinari,Hennebert,9999-01-01,Production
13333,Yoshinari,Hennebert,9999-01-01,Development
13341,Bodh,Doering,9999-01-01,Marketing
13343,Heon,Usery,9999-01-01,Finance
13343,Heon,Usery,9999-01-01,Human Resources
13368,Kiyokazu,Klassen,9999-01-01,Human Resources
13371,Nakhoon,Riexinger,9999-01-01,Production
13373,Juichirou,Naumovich,9999-01-01,Finance
13373,Juichirou,Naumovich,9999-01-01,Human Resources
13385,Claudi,Buchter,9999-01-01,Human Resources
13386,Khosrow,Sgarro,9999-01-01,Development
13389,Divine,Cmelik,9999-01-01,Research
13392,Fumitake,Beidas,9999-01-01,Sales
13396,Chuanyi,Aumann,9999-01-01,Customer Service
13402,Augustine,Dulli,9999-01-01,Development
13402,Augustine,Dulli,9999-01-01,Research
13405,Randy,Baba,9999-01-01,Sales
13407,Gio,Chenoweth,9999-01-01,Production
13408,Sreekrishna,Lagarias,9999-01-01,Production
13415,Nathalie,Speer,9999-01-01,Quality Management
13422,Vishwani,Gerlach,9999-01-01,Production
13422,Vishwani,Gerlach,9999-01-01,Quality Management
13442,Giordano,Miake,9999-01-01,Human Resources
13443,Mayuko,Puppo,9999-01-01,Quality Management
13445,Renee,Dehkordi,9999-01-01,Production
13451,Gretta,Weiland,9999-01-01,Human Resources
13457,Shooichi,Parfitt,9999-01-01,Quality Management
13458,Feipei,Nivat,9999-01-01,Production
13458,Feipei,Nivat,9999-01-01,Customer Service
13463,Theron,Berstel,9999-01-01,Production
13465,Sasan,Rehfuss,9999-01-01,Production
13493,Uinam,Jullig,9999-01-01,Development
13504,Parto,Mandell,9999-01-01,Development
13524,Chaoyi,Porotnikoff,9999-01-01,Sales
13535,Arunas,Schlenzig,9999-01-01,Production
13546,Aimee,Brookner,9999-01-01,Production
13549,Matk,Koprowski,9999-01-01,Development
13552,Ingmar,Capobianchi,9999-01-01,Research
13576,Jungsoon,Engberts,9999-01-01,Development
13576,Jungsoon,Engberts,9999-01-01,Research
13605,Dmitry,Encarnacion,9999-01-01,Sales
13621,Fei,Haddadi,9999-01-01,Development
13624,Zhigen,Yurek,9999-01-01,Human Resources
13629,Dzung,Trelles,9999-01-01,Development
13648,Zejun,Lamba,9999-01-01,Production
13653,Kristen,Iivonen,9999-01-01,Human Resources
13670,Moti,Takanami,9999-01-01,Development
13680,Denny,Speer,9999-01-01,Sales
13685,Weicheng,Hockney,9999-01-01,Development
13697,Shuichi,Weedon,9999-01-01,Development
13704,Vishu,Kumaresan,9999-01-01,Production
13721,Sugwoo,Delgrossi,9999-01-01,Sales
13727,Vitali,Merey,9999-01-01,Human Resources
13738,Bangqing,Mitchem,9999-01-01,Development
13766,Tremaine,Heemskerk,9999-01-01,Customer Service
13769,Yakichi,Trogemann,9999-01-01,Sales
13775,Arve,Maierhofer,9999-01-01,Sales
13786,Takushi,Berendt,9999-01-01,Sales
13787,Xiaobin,Sinicrope,9999-01-01,Production
13792,Valery,Sury,9999-01-01,Finance
13796,Paloma,Thorelli,9999-01-01,Development
13809,Kiyotoshi,Basagni,9999-01-01,Customer Service
13815,Guadalupe,Plotkin,9999-01-01,Production
13825,Arlette,Pell,9999-01-01,Production
13841,Christophe,Spinelli,9999-01-01,Production
13841,Christophe,Spinelli,9999-01-01,Quality Management
13842,Juichirou,Cichocki,9999-01-01,Research
13846,Guiseppe,Welham,9999-01-01,Research
13853,Mingsen,Roohalamini,9999-01-01,Research
13859,Anoosh,Fujisawa,9999-01-01,Development
13884,Kensei,Swift,9999-01-01,Production
13894,Ult,Schonegge,9999-01-01,Production
13904,Youngkon,Cairo,9999-01-01,Development
13934,Shiv,Bratsberg,9999-01-01,Development
13942,Elzbieta,Esteva,9999-01-01,Development
13951,Mooi,Genther,9999-01-01,Sales
13960,Nechama,Hettesheimer,9999-01-01,Finance
13962,Maris,Ghelli,9999-01-01,Production
13966,Boguslaw,Cooman,9999-01-01,Customer Service
13969,Jianwen,Chandrasekhar,9999-01-01,Development
13990,Deborah,Schapiro,9999-01-01,Development
13992,Ulises,Kenevan,9999-01-01,Finance
13999,Florian,Crouzet,9999-01-01,Human Resources
14005,Vojin,Stellhorn,9999-01-01,Development
14005,Vojin,Stellhorn,9999-01-01,Quality Management
14015,Manibrata,Picaronny,9999-01-01,Production
14015,Manibrata,Picaronny,9999-01-01,Quality Management
14034,Aloys,Seghrouchni,9999-01-01,Finance
14041,Shan,DeMori,9999-01-01,Marketing
14067,Godehard,Trachtenberg,9999-01-01,Production
14088,Mori,Leslie,9999-01-01,Research
14107,Xiahua,Rindone,9999-01-01,Marketing
14111,Leszek,Cummings,9999-01-01,Customer Service
14118,Kasturi,Anido,9999-01-01,Customer Service
14167,Adas,Hertweck,9999-01-01,Production
14191,Jiann,Luby,9999-01-01,Development
14209,Masanao,Kusakabe,9999-01-01,Research
14220,Tomofumi,Pargas,9999-01-01,Production
14232,Masali,Bojadziev,9999-01-01,Development
14236,Xuedong,Angiulli,9999-01-01,Research
14237,Abdulla,Gerlach,9999-01-01,Production
14237,Abdulla,Gerlach,9999-01-01,Customer Service
14242,Sudhanshu,Benaini,9999-01-01,Customer Service
14257,Kwok,Massonet,9999-01-01,Production
14257,Kwok,Massonet,9999-01-01,Customer Service
14290,Miyeon,Olivero,9999-01-01,Production
14292,Susanna,Vigier,9999-01-01,Research
14298,Chriss,Granlund,9999-01-01,Production
14310,Marlo,Leuchs,9999-01-01,Sales
14320,Sreenivas,Schaar,9999-01-01,Production
14322,Shem,Kakkad,9999-01-01,Development
14323,Golgen,Leslie,9999-01-01,Production
14323,Golgen,Leslie,9999-01-01,Customer Service
14340,Vitaly,Wixon,9999-01-01,Production
14344,Otilia,Buescher,9999-01-01,Production
14354,Mong,Bojadziev,9999-01-01,Sales
14360,Janche,Erbe,9999-01-01,Research
14372,Saniya,Srimani,9999-01-01,Development
14372,Saniya,Srimani,9999-01-01,Research
14384,Tomofumi,Holburn,9999-01-01,Development
14422,Toshimo,Gadepally,9999-01-01,Production
14434,Elvis,Maginnis,9999-01-01,Development
14439,Raimond,Woycyznski,9999-01-01,Quality Management
14460,Yagil,Lueh,9999-01-01,Production
14478,Munehiro,Boissier,9999-01-01,Sales
14481,Moti,Lammel,9999-01-01,Production
14483,Supot,Marrevee,9999-01-01,Development
14486,Indrajit,Birdsall,9999-01-01,Production
14498,Xiong,Selenyi,9999-01-01,Human Resources
14501,Taizo,Kroft,9999-01-01,Production
14509,Danil,Aloia,9999-01-01,Finance
14513,Samphel,Barreiro,9999-01-01,Marketing
14513,Samphel,Barreiro,9999-01-01,Sales
14515,Kazuhisa,Versino,9999-01-01,Quality Management
14516,Kristian,Underwood,9999-01-01,Sales
14518,Patricia,Peir,9999-01-01,Production
14522,Chuanyi,Ranta,9999-01-01,Finance
14537,Babette,Engelmann,9999-01-01,Quality Management
14552,Ibibia,Snyers,9999-01-01,Development
14556,Fatemeh,Zultner,9999-01-01,Production
14560,Elrique,Driscoll,9999-01-01,Development
14581,Gao,Condotta,9999-01-01,Development
14582,Kiyokazu,Morrin,9999-01-01,Development
14600,Jayson,Cairo,9999-01-01,Customer Service
14603,Lech,Marquardt,9999-01-01,Development
14607,Suzette,Selvestrel,9999-01-01,Sales
14620,Jianhua,Erev,9999-01-01,Production
14621,Souichi,Wixon,9999-01-01,Sales
14632,Gudjon,McClurg,9999-01-01,Quality Management
14639,Arvind,Hempstead,9999-01-01,Sales
14640,Toshimori,Kornatzky,9999-01-01,Development
14642,Florian,Kuhnemann,9999-01-01,Development
14645,Laurentiu,Glinert,9999-01-01,Development
14648,IEEE,Lorys,9999-01-01,Sales
14659,Sashi,Adachi,9999-01-01,Quality Management
14675,Teunis,Angel,9999-01-01,Human Resources
14677,Herbert,Sifakis,9999-01-01,Production
14683,Alois,Basart,9999-01-01,Production
14683,Alois,Basart,9999-01-01,Customer Service
14690,Yechezkel,Bellone,9999-01-01,Development
14693,Brewster,Stranks,9999-01-01,Customer Service
14710,Mahmut,Hainaut,9999-01-01,Marketing
14723,Constantino,Assaf,9999-01-01,Human Resources
14724,Aron,Lemarechal,9999-01-01,Finance
14780,Marlo,Bruckman,9999-01-01,Production
14785,Zhonghua,Kaiser,9999-01-01,Production
14785,Zhonghua,Kaiser,9999-01-01,Customer Service
14793,Stein,Uchoa,9999-01-01,Development
14814,Odysseas,Nishimukai,9999-01-01,Customer Service
14817,Gaurav,Masaki,9999-01-01,Development
14817,Gaurav,Masaki,9999-01-01,Research
14821,Oguz,Kilgore,9999-01-01,Development
14839,Changho,Cronin,9999-01-01,Development
14853,Taiji,Nergos,9999-01-01,Development
14877,Arto,Meriste,9999-01-01,Development
14879,Anyuan,Sigstam,9999-01-01,Development
14888,Temple,Barriga,9999-01-01,Sales
14899,Alejandro,Casley,9999-01-01,Finance
14899,Alejandro,Casley,9999-01-01,Sales
14906,Adil,Parveen,9999-01-01,Research
